,age,job,marital,education,housing,loan,month,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,label
0,56,housemaid,married,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
1,57,services,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
2,37,services,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
3,40,admin.,married,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
4,56,services,married,high.school,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
5,45,services,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
6,59,admin.,married,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
7,24,technician,single,professional.course,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
8,25,services,single,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
9,25,services,single,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
10,29,blue-collar,single,high.school,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
11,57,housemaid,divorced,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
12,35,blue-collar,married,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
13,54,retired,married,basic.9y,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
14,35,blue-collar,married,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
15,46,blue-collar,married,basic.6y,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
16,50,blue-collar,married,basic.9y,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
17,39,management,single,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
18,30,unemployed,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
19,55,blue-collar,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
20,55,retired,single,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
21,41,technician,single,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
22,37,admin.,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
23,35,technician,married,university.degree,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
24,39,self-employed,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
25,54,technician,single,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
26,54,management,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
27,54,blue-collar,divorced,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
28,34,services,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
29,52,technician,married,basic.9y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
30,41,admin.,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
31,56,technician,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
32,32,entrepreneur,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
33,38,admin.,single,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
34,57,admin.,married,university.degree,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
35,44,admin.,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
36,42,technician,single,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
37,57,admin.,married,university.degree,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
38,40,blue-collar,married,basic.9y,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
39,35,admin.,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
40,45,blue-collar,married,basic.9y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
41,54,admin.,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
42,39,housemaid,married,basic.4y,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
43,60,admin.,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
44,53,admin.,single,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
45,55,blue-collar,married,basic.4y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
46,55,technician,married,professional.course,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
47,50,management,married,university.degree,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
48,45,services,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
49,55,unemployed,married,professional.course,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
50,25,technician,single,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
51,47,entrepreneur,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
52,51,blue-collar,married,basic.9y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
53,42,blue-collar,married,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
54,42,blue-collar,married,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
55,48,admin.,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
56,37,admin.,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
57,44,blue-collar,single,basic.9y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
58,56,admin.,married,basic.9y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
59,44,blue-collar,single,basic.4y,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
60,41,management,married,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
61,44,management,divorced,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
62,47,admin.,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
63,37,admin.,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
64,41,blue-collar,divorced,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
65,55,technician,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
66,33,services,married,high.school,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
67,42,blue-collar,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
68,50,blue-collar,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
69,38,admin.,married,high.school,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
70,49,entrepreneur,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
71,38,technician,single,university.degree,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
72,31,admin.,divorced,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
73,41,management,married,basic.6y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
74,39,admin.,married,university.degree,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
75,49,technician,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
76,34,admin.,married,high.school,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
77,35,admin.,married,university.degree,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
78,33,unemployed,married,basic.9y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
79,42,blue-collar,married,basic.6y,no,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
80,45,services,married,professional.course,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
81,42,management,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
82,53,admin.,divorced,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
83,37,technician,single,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
84,44,blue-collar,married,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
85,49,blue-collar,married,basic.4y,no,no,may,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
86,52,admin.,divorced,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
87,52,admin.,divorced,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
88,43,services,single,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
89,34,housemaid,married,basic.6y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
90,35,admin.,married,high.school,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
91,60,retired,divorced,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
92,58,unemployed,married,basic.4y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
93,35,services,divorced,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
94,55,blue-collar,married,basic.9y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
95,37,management,married,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
96,36,blue-collar,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
97,52,admin.,divorced,university.degree,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
98,48,blue-collar,divorced,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
99,40,blue-collar,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
100,49,blue-collar,divorced,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
101,41,services,married,high.school,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
102,45,technician,married,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
103,32,admin.,married,university.degree,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
104,42,admin.,married,university.degree,no,yes,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
105,50,admin.,married,basic.6y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
106,31,technician,divorced,professional.course,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
107,56,retired,married,basic.4y,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
108,41,technician,married,professional.course,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
109,37,blue-collar,married,basic.6y,yes,yes,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
110,41,technician,married,professional.course,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
111,37,blue-collar,married,basic.6y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
112,52,management,married,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
113,39,management,divorced,university.degree,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
114,39,housemaid,married,basic.4y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
115,56,blue-collar,married,basic.4y,no,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
116,34,services,married,high.school,yes,no,may,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
117,45,blue-collar,married,basic.9y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1
118,43,unemployed,single,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
119,39,management,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
120,53,blue-collar,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
121,42,blue-collar,married,basic.4y,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
122,42,blue-collar,married,basic.4y,no,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
123,35,admin.,single,high.school,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
124,40,admin.,married,university.degree,yes,no,may,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0
